node, assignment, time2inf, time2death
623,t,125.018475180397,125.018475180397
624,t,125.018475180397,125.018475180397
625,c,125.018475180397,125.018475180397
626,c,125.018475180397,125.018475180397
627,c,71.80327385339307,76.37151615673336
628,c,125.018475180397,125.018475180397
629,t,125.018475180397,125.018475180397
630,t,125.018475180397,125.018475180397
631,t,125.018475180397,125.018475180397
632,t,125.018475180397,125.018475180397
633,t,125.018475180397,125.018475180397
634,c,125.018475180397,125.018475180397
635,c,125.018475180397,125.018475180397
636,t,125.018475180397,125.018475180397
637,t,125.018475180397,125.018475180397
638,c,125.018475180397,125.018475180397
639,c,125.018475180397,125.018475180397
640,t,125.018475180397,125.018475180397
641,c,125.018475180397,125.018475180397
642,t,125.018475180397,125.018475180397
643,t,125.018475180397,125.018475180397
644,t,125.018475180397,125.018475180397
645,c,17.656857922630444,18.3456778777498
646,t,125.018475180397,125.018475180397
647,t,125.018475180397,125.018475180397
648,c,125.018475180397,125.018475180397
649,c,125.018475180397,125.018475180397
650,c,125.018475180397,125.018475180397
651,c,125.018475180397,125.018475180397
652,c,125.018475180397,125.018475180397
653,t,125.018475180397,125.018475180397
654,c,125.018475180397,125.018475180397
655,t,125.018475180397,125.018475180397
656,t,125.018475180397,125.018475180397
657,c,125.018475180397,125.018475180397
658,c,125.018475180397,125.018475180397
659,t,125.018475180397,125.018475180397
660,c,125.018475180397,125.018475180397
661,c,125.018475180397,125.018475180397
662,c,125.018475180397,125.018475180397
663,t,125.018475180397,125.018475180397
664,t,125.018475180397,125.018475180397
665,c,125.018475180397,125.018475180397
666,c,125.018475180397,125.018475180397
667,c,66.4506753130026,70.12457969539415
668,c,125.018475180397,125.018475180397
669,c,125.018475180397,125.018475180397
670,t,125.018475180397,125.018475180397
671,t,125.018475180397,125.018475180397
672,t,112.84622567085643,119.42622380561488
673,t,125.018475180397,125.018475180397
674,t,125.018475180397,125.018475180397
675,c,125.018475180397,125.018475180397
676,c,26.582888429947282,34.45786460009711
677,c,94.77807585334907,96.77811703352502
678,c,125.018475180397,125.018475180397
679,t,125.018475180397,125.018475180397
680,t,125.018475180397,125.018475180397
681,c,122.05554955357695,125.018475180397
682,c,125.018475180397,125.018475180397
683,c,125.018475180397,125.018475180397
684,t,125.018475180397,125.018475180397
685,t,125.018475180397,125.018475180397
686,t,125.018475180397,125.018475180397
687,t,125.018475180397,125.018475180397
688,t,125.018475180397,125.018475180397
689,t,125.018475180397,125.018475180397
690,c,125.018475180397,125.018475180397
691,c,125.018475180397,125.018475180397
692,t,125.018475180397,125.018475180397
693,t,125.018475180397,125.018475180397
694,t,125.018475180397,125.018475180397
695,c,11.72054669514741,14.651992738125855
696,c,125.018475180397,125.018475180397
697,c,125.018475180397,125.018475180397
698,t,21.078267743877703,21.83249403382882
699,c,125.018475180397,125.018475180397
700,t,54.782374251874124,56.93037252444193
701,t,125.018475180397,125.018475180397
702,t,4.941504906734608,5.755174561361223
703,c,125.018475180397,125.018475180397
704,t,125.018475180397,125.018475180397
705,t,125.018475180397,125.018475180397
706,c,125.018475180397,125.018475180397
707,c,125.018475180397,125.018475180397
708,t,125.018475180397,125.018475180397
709,c,125.018475180397,125.018475180397
710,c,125.018475180397,125.018475180397
711,c,56.5898753230466,62.04905041481298
712,c,7.9256453559215165,19.439735359909967
713,na,10.744203618889154,17.446361850868264
714,t,125.018475180397,125.018475180397
715,c,125.018475180397,125.018475180397
716,na,1.782642565865867,2.1577457309144767
717,t,125.018475180397,125.018475180397
718,c,125.018475180397,125.018475180397
719,t,125.018475180397,125.018475180397
720,c,125.018475180397,125.018475180397
721,c,21.476837193864736,25.465746167138448
722,c,125.018475180397,125.018475180397
723,t,125.018475180397,125.018475180397
724,t,125.018475180397,125.018475180397
725,c,125.018475180397,125.018475180397
726,c,125.018475180397,125.018475180397
727,t,25.849515100802353,30.155508454588183
728,c,125.018475180397,125.018475180397
729,t,19.152872472705454,19.89306820603401
730,c,125.018475180397,125.018475180397
731,c,125.018475180397,125.018475180397
732,t,125.018475180397,125.018475180397
733,t,125.018475180397,125.018475180397
734,t,125.018475180397,125.018475180397
735,t,47.0317747365128,53.98632058068774
736,c,125.018475180397,125.018475180397
737,t,125.018475180397,125.018475180397
738,c,125.018475180397,125.018475180397
739,c,125.018475180397,125.018475180397
740,c,12.742583763503976,16.996872115789145
741,c,125.018475180397,125.018475180397
742,c,125.018475180397,125.018475180397
743,c,125.018475180397,125.018475180397
744,t,125.018475180397,125.018475180397
745,c,125.018475180397,125.018475180397
746,c,125.018475180397,125.018475180397
747,t,125.018475180397,125.018475180397
748,c,125.018475180397,125.018475180397
749,c,125.018475180397,125.018475180397
750,c,125.018475180397,125.018475180397
751,c,125.018475180397,125.018475180397
752,t,125.018475180397,125.018475180397
753,c,125.018475180397,125.018475180397
754,t,125.018475180397,125.018475180397
755,c,125.018475180397,125.018475180397
756,c,125.018475180397,125.018475180397
757,t,13.875855302229825,14.625890152324777
758,c,125.018475180397,125.018475180397
759,c,125.018475180397,125.018475180397
760,c,125.018475180397,125.018475180397
761,t,125.018475180397,125.018475180397
762,c,125.018475180397,125.018475180397
763,c,125.018475180397,125.018475180397
